,forecast,low,high
2019-11-01,999.5815885014915,345.86381360562166,1653.2993633973615
2019-12-01,771.9055527128041,-31.07343973029856,1574.8845451559068
2020-01-01,1728.2784659634344,786.270090233811,2670.286841693058
2020-02-01,1014.8749814285741,9.374182171200914,2020.3757806859471
2020-03-01,1810.3746981367685,714.5588547160521,2906.1905415574847
2020-04-01,735.9908830476411,-400.03611153254997,1872.0178776278321
2020-05-01,1483.2088357856965,271.71199677837376,2694.705674793019
2020-06-01,254.07638841283756,-987.2837647736405,1495.4365415993157
2020-07-01,1444.717245303363,132.8609417927512,2756.5735488139744
2020-08-01,280.81388570250397,-1054.4795715029047,1616.1073429079127
2020-09-01,1957.911646649534,553.0856439811334,3362.7376493179345
2020-10-01,361.7886079762412,-1061.4686452736419,1785.045861226124
2020-11-01,1891.848370958334,335.3942909161367,3448.3024510005316
2020-12-01,320.8481388730331,-1270.3848567421599,1912.081134488226
2021-01-01,2890.5719243625354,1186.6363206498409,4594.50752807523
2021-02-01,-19.121043030026158,-1744.8116242688163,1706.569538208764
2021-03-01,2478.798153098722,644.497954910483,4313.098351286962
2021-04-01,-469.49028411233417,-2317.7563519000632,1378.7757836753947
2021-05-01,2449.0994579209746,489.4619831694706,4408.736932672478
2021-06-01,-1018.6654046462979,-2986.4916500567087,949.1608407641129
2021-07-01,2485.075569841124,399.0671059140486,4571.084033768199
2021-08-01,-1394.2893451832074,-3483.9264436379476,695.3477532715328
2021-09-01,3198.253378505274,980.3055917280744,5416.201165282474
2021-10-01,-2368.2401978739595,-4586.498420691481,-149.98197505643793
2021-11-01,2961.549953065278,369.36642356492985,5553.733482565625
2021-12-01,-2640.2641137121,-5259.842451181352,-20.68577624284808
2022-01-01,4236.059879397493,1318.5995920787477,7153.520166716238
2022-02-01,-3066.573374432808,-5989.765800649197,-143.3809482164188
2022-03-01,4768.51193217724,1557.9305008465071,7979.093363507973
2022-04-01,-4016.2729325180335,-7225.146237038875,-807.3996279971916
2022-05-01,5203.2314356224915,1692.7758409234916,8713.687030321491
2022-06-01,-5267.916852869705,-8775.989893128142,-1759.8438126112678
2022-07-01,6007.758279765783,2170.273470133361,9845.243089398205
2022-08-01,-6244.284674938079,-10084.866828607817,-2403.7025212683407
2022-09-01,7559.269668950376,3350.9373636704304,11767.601974230322
2022-10-01,-7508.7898555761,-11733.119584461667,-3284.460126690534
2022-11-01,8635.64487843241,3878.661431345029,13392.628325519789
2022-12-01,-8904.913550066722,-13677.078473307527,-4132.748626825915
2023-01-01,11123.897343622908,5798.9342202109765,16448.86046703484
2023-02-01,-10822.029780871571,-16194.268531167838,-5449.791030575305
2023-03-01,12651.01947113801,6670.190582530566,18631.848359745454
2023-04-01,-13262.004351395863,-19335.29398130488,-7188.714721486844
2023-05-01,14779.28610761953,8018.983513623069,21539.58870161599
2023-06-01,-16222.424462818642,-23136.54375950069,-9308.305166136593
2023-07-01,17455.28624209055,9756.440314451003,25154.1321697301
2023-08-01,-19428.64856705055,-27362.288235733104,-11495.008898367996
2023-09-01,21312.861659864015,12477.086222769467,30148.637096958562
2023-10-01,-23688.998650467336,-32863.697053463664,-14514.300247471008
2023-11-01,24922.830373901976,14490.50987898627,35355.150868817684
2023-12-01,-28094.65178788311,-38893.07153385524,-17296.23204191098
2024-01-01,30719.168099277897,18566.77596841513,42871.56023014066
2024-02-01,-33512.48502530455,-46206.470569030724,-20818.49948157838
2024-03-01,36557.94690204088,22340.63358917116,50775.260214910595
2024-04-01,-40372.40919326617,-55333.711003778124,-25411.107382754213
2024-05-01,43479.44321760745,26772.89209447571,60185.994340739184
2024-06-01,-48690.38719089629,-66382.27275279576,-30998.50162899682
2024-07-01,52021.32111779402,32312.172188586377,71730.47004700165
2024-08-01,-58183.80380844753,-79168.82540197924,-37198.78221491581
2024-09-01,62864.70963470352,39535.28334972232,86194.13591968472
2024-10-01,-69739.86896342313,-94695.22766257853,-44784.51026426772
